Date,ID,Result,Page,Process Time
2017-08-01,00001,"5,10,14,23,24,38,35",59,2022-05-07 07:56:43.143266
2017-08-03,00002,"4,9,24,25,27,45,40",59,2022-05-07 07:56:43.143266
2017-08-05,00003,"1,5,11,32,40,45,43",59,2022-05-07 07:56:43.143266
2017-08-08,00004,"19,36,39,41,46,51,38",59,2022-05-07 07:56:43.143266
2017-08-10,00005,"10,11,19,41,50,54,3",59,2022-05-07 07:56:43.143266
2017-08-12,00006,"6,16,20,32,38,51,34",58,2022-05-07 07:56:43.143266
2017-08-15,00007,"7,11,19,32,33,51,30",58,2022-05-07 07:56:43.143266
2017-08-17,00008,"11,12,20,30,32,34,53",58,2022-05-07 07:56:43.143266
2017-08-19,00009,"7,11,13,15,26,51,36",58,2022-05-07 07:56:43.143266
2017-08-22,00010,"10,24,31,32,38,44,14",58,2022-05-07 07:56:43.143266
2017-08-24,00011,"5,16,18,37,42,46,10",58,2022-05-07 07:56:43.143266
2017-08-26,00012,"17,25,30,31,36,41,20",58,2022-05-07 07:56:43.143266
2017-08-29,00013,"4,12,15,23,24,41,44",58,2022-05-07 07:56:43.143266
2017-08-31,00014,"8,20,27,35,36,47,18",57,2022-05-07 07:56:43.143266
2017-09-02,00015,"5,9,11,18,19,37,50",57,2022-05-07 07:56:43.143266
2017-09-05,00016,"1,2,8,13,23,39,9",57,2022-05-07 07:56:43.143266
2017-09-07,00017,"4,18,22,31,32,40,8",57,2022-05-07 07:56:43.143266
2017-09-09,00018,"1,15,23,36,43,54,12",57,2022-05-07 07:56:43.143266
2017-09-12,00019,"6,10,12,47,48,51,35",57,2022-05-07 07:56:43.143266
2017-09-14,00020,"22,23,32,43,44,51,15",57,2022-05-07 07:56:43.143266
2017-09-16,00021,"9,12,21,26,29,52,24",57,2022-05-07 07:56:43.143266
2017-09-19,00022,"3,32,36,41,44,53,45",56,2022-05-07 07:56:43.143266
2017-09-21,00023,"9,12,16,24,43,51,39",56,2022-05-07 07:56:43.143266
2017-09-23,00024,"7,8,27,36,44,53,49",56,2022-05-07 07:56:43.143266
2017-09-26,00025,"14,15,18,30,36,49,19",56,2022-05-07 07:56:43.143266
2017-09-28,00026,"20,27,28,31,39,47,10",56,2022-05-07 07:56:43.143266
2017-09-30,00027,"4,17,23,25,34,46,24",56,2022-05-07 07:56:43.143266
2017-10-03,00028,"21,31,35,41,46,50,23",56,2022-05-07 07:56:43.143266
2017-10-05,00029,"1,3,14,19,35,41,20",56,2022-05-07 07:56:43.143266
2017-10-07,00030,"31,34,40,42,43,49,16",55,2022-05-07 07:56:43.143266
2017-10-10,00031,"29,33,43,44,45,50,41",55,2022-05-07 07:56:43.143266
2017-10-12,00032,"5,8,11,31,37,42,52",55,2022-05-07 07:56:43.143266
2017-10-14,00033,"14,18,29,35,44,49,54",55,2022-05-07 07:56:43.143266
2017-10-17,00034,"1,26,36,40,50,54,31",55,2022-05-07 07:56:43.143266
2017-10-19,00035,"6,15,17,24,40,45,39",55,2022-05-07 07:56:43.143266
2017-10-21,00036,"4,9,13,16,18,49,30",55,2022-05-07 07:56:43.143266
2017-10-24,00037,"1,2,9,13,32,35,52",55,2022-05-07 07:56:43.143266
2017-10-26,00038,"2,10,15,30,34,50,3",54,2022-05-07 07:56:43.143266
2017-10-28,00039,"13,18,35,36,41,48,47",54,2022-05-07 07:56:43.143266
2017-10-31,00040,"7,13,24,45,47,52,33",54,2022-05-07 07:56:43.143266
2017-11-02,00041,"3,9,12,21,51,52,7",54,2022-05-07 07:56:43.143266
2017-11-04,00042,"2,8,12,44,46,52,9",54,2022-05-07 07:56:43.143266
2017-11-07,00043,"19,32,36,37,42,54,28",54,2022-05-07 07:56:43.143266
2017-11-09,00044,"2,3,6,23,34,36,50",54,2022-05-07 07:56:43.143266
2017-11-11,00045,"12,26,33,35,36,44,1",54,2022-05-07 07:56:43.143266
2017-11-14,00046,"20,24,29,41,47,49,22",53,2022-05-07 07:56:43.143266
2017-11-16,00047,"1,16,22,25,47,48,21",53,2022-05-07 07:56:43.143266
2017-11-18,00048,"11,12,26,42,50,54,17",53,2022-05-07 07:56:43.143266
2017-11-21,00049,"5,8,23,37,38,54,55",53,2022-05-07 07:56:43.143266
2017-11-23,00050,"1,2,3,18,25,50,14",53,2022-05-07 07:56:43.143266
2017-11-25,00051,"2,9,16,46,52,55,50",53,2022-05-07 07:56:43.147266
2017-11-28,00052,"2,19,39,49,51,53,20",53,2022-05-07 07:56:43.147266
2017-11-30,00053,"5,13,26,37,53,55,28",53,2022-05-07 07:56:43.147266
2017-12-02,00054,"9,37,45,50,53,54,40",52,2022-05-07 07:56:43.147266
2017-12-05,00055,"27,38,40,42,46,55,5",52,2022-05-07 07:56:43.147266
2017-12-07,00056,"3,14,26,35,44,54,25",52,2022-05-07 07:56:43.147266
2017-12-09,00057,"5,34,35,42,49,52,21",52,2022-05-07 07:56:43.147266
2017-12-12,00058,"6,7,8,21,32,39,27",52,2022-05-07 07:56:43.147266
2017-12-14,00059,"11,12,22,28,46,50,7",52,2022-05-07 07:56:43.147266
2017-12-16,00060,"5,23,37,41,43,53,25",52,2022-05-07 07:56:43.147266
2017-12-19,00061,"2,3,20,25,38,44,12",52,2022-05-07 07:56:43.147266
2017-12-21,00062,"22,23,27,35,37,46,19",51,2022-05-07 07:56:43.147266
2017-12-23,00063,"7,8,9,13,28,44,12",51,2022-05-07 07:56:43.147266
2017-12-26,00064,"7,11,13,18,26,42,49",51,2022-05-07 07:56:43.147266
2017-12-28,00065,"7,18,26,29,31,35,34",51,2022-05-07 07:56:43.147266
2017-12-30,00066,"8,9,36,37,39,50,7",51,2022-05-07 07:56:43.147266
2018-01-02,00067,"4,7,8,34,37,47,24",51,2022-05-07 07:56:43.147266
2018-01-04,00068,"1,7,31,35,46,55,51",51,2022-05-07 07:56:43.147266
2018-01-06,00069,"4,11,24,35,41,45,17",51,2022-05-07 07:56:43.147266
2018-01-09,00070,"18,25,28,46,50,51,15",50,2022-05-07 07:56:43.147266
2018-01-11,00071,"4,7,30,35,37,45,1",50,2022-05-07 07:56:43.147266
2018-01-13,00072,"3,21,25,26,51,55,37",50,2022-05-07 07:56:43.147266
2018-01-16,00073,"6,27,33,41,42,49,22",50,2022-05-07 07:56:43.147266
2018-01-18,00074,"12,24,28,30,36,39,15",50,2022-05-07 07:56:43.147266
2018-01-20,00075,"2,7,15,16,41,45,19",50,2022-05-07 07:56:43.147266
2018-01-23,00076,"3,10,15,23,41,53,35",50,2022-05-07 07:56:43.151266
2018-01-25,00077,"1,10,30,44,45,50,4",50,2022-05-07 07:56:43.151266
2018-01-27,00078,"21,26,36,38,40,50,11",49,2022-05-07 07:56:43.151266
2018-01-30,00079,"15,19,24,51,53,55,29",49,2022-05-07 07:56:43.151266
2018-02-01,00080,"1,7,8,9,39,43,52",49,2022-05-07 07:56:43.151266
2018-02-03,00081,"12,29,42,48,54,55,18",49,2022-05-07 07:56:43.151266
2018-02-06,00082,"1,20,29,31,43,53,16",49,2022-05-07 07:56:43.151266
2018-02-08,00083,"21,22,29,37,41,50,33",49,2022-05-07 07:56:43.151266
2018-02-10,00084,"8,10,19,25,36,46,7",49,2022-05-07 07:56:43.151266
2018-02-13,00085,"9,25,26,30,42,54,19",49,2022-05-07 07:56:43.151266
2018-02-17,00086,"16,22,28,29,35,43,45",48,2022-05-07 07:56:43.151266
2018-02-20,00087,"1,2,21,24,50,52,33",48,2022-05-07 07:56:43.151266
2018-02-22,00088,"11,14,32,36,42,48,20",48,2022-05-07 07:56:43.151266
2018-02-24,00089,"5,7,24,32,45,49,1",48,2022-05-07 07:56:43.151266
2018-02-27,00090,"8,16,23,28,44,49,45",48,2022-05-07 07:56:43.151266
2018-03-01,00091,"4,5,7,17,20,38,9",48,2022-05-07 07:56:43.151266
2018-03-03,00092,"4,10,32,37,47,52,49",48,2022-05-07 07:56:43.151266
2018-03-06,00093,"2,6,13,22,40,48,12",48,2022-05-07 07:56:43.151266
2018-03-08,00094,"14,17,18,23,41,52,40",47,2022-05-07 07:56:43.151266
2018-03-10,00095,"9,20,27,31,48,49,42",47,2022-05-07 07:56:43.151266
2018-03-13,00096,"1,2,17,46,47,49,44",47,2022-05-07 07:56:43.151266
2018-03-15,00097,"15,20,23,28,39,49,19",47,2022-05-07 07:56:43.151266
2018-03-17,00098,"3,14,28,35,50,52,29",47,2022-05-07 07:56:43.151266
2018-03-20,00099,"11,40,43,46,49,55,37",47,2022-05-07 07:56:43.151266
2018-03-22,00100,"1,8,24,33,34,41,20",47,2022-05-07 07:56:43.151266
2018-03-24,00101,"1,30,38,45,48,50,12",47,2022-05-07 07:56:43.151266
2018-03-27,00102,"9,13,14,15,54,55,22",46,2022-05-07 07:56:43.151266
2018-03-29,00103,"5,27,35,39,46,52,31",46,2022-05-07 07:56:43.151266
2018-03-31,00104,"3,7,31,43,51,53,26",46,2022-05-07 07:56:43.151266
2018-04-03,00105,"20,21,39,42,51,53,1",46,2022-05-07 07:56:43.151266
2018-04-05,00106,"7,9,17,25,31,32,6",46,2022-05-07 07:56:43.151266
2018-04-07,00107,"12,24,33,34,36,53,5",46,2022-05-07 07:56:43.151266
2018-04-10,00108,"1,22,25,31,36,48,41",46,2022-05-07 07:56:43.151266
2018-04-12,00109,"4,29,35,37,42,54,19",46,2022-05-07 07:56:43.151266
2018-04-14,00110,"2,10,14,26,45,54,20",45,2022-05-07 07:56:43.151266
2018-04-17,00111,"2,10,26,27,31,38,39",45,2022-05-07 07:56:43.151266
2018-04-19,00112,"4,17,19,35,49,55,9",45,2022-05-07 07:56:43.151266
2018-04-21,00113,"16,18,41,43,46,55,35",45,2022-05-07 07:56:43.151266
2018-04-24,00114,"17,18,24,40,41,46,6",45,2022-05-07 07:56:43.151266
2018-04-26,00115,"23,26,29,31,36,54,55",45,2022-05-07 07:56:43.151266
2018-04-28,00116,"12,19,22,29,32,46,25",45,2022-05-07 07:56:43.151266
2018-05-01,00117,"1,7,20,23,25,38,14",45,2022-05-07 07:56:43.151266
2018-05-03,00118,"23,27,33,37,39,49,44",44,2022-05-07 07:56:43.151266
2018-05-05,00119,"16,32,33,37,40,48,15",44,2022-05-07 07:56:43.151266
2018-05-08,00120,"3,16,23,24,38,42,48",44,2022-05-07 07:56:43.151266
2018-05-10,00121,"2,6,8,34,39,43,11",44,2022-05-07 07:56:43.151266
2018-05-12,00122,"1,9,26,38,54,55,51",44,2022-05-07 07:56:43.151266
2018-05-15,00123,"3,6,29,37,44,49,24",44,2022-05-07 07:56:43.151266
2018-05-17,00124,"13,31,38,45,53,55,46",44,2022-05-07 07:56:43.151266
2018-05-19,00125,"33,35,45,52,53,55,25",44,2022-05-07 07:56:43.151266
2018-05-22,00126,"4,5,8,17,35,47,39",43,2022-05-07 07:56:43.151266
2018-05-24,00127,"24,25,26,29,36,48,40",43,2022-05-07 07:56:43.151266
2018-05-26,00128,"7,12,28,31,40,44,15",43,2022-05-07 07:56:43.151266
2018-05-29,00129,"9,13,17,18,46,50,26",43,2022-05-07 07:56:43.151266
2018-05-31,00130,"3,15,18,25,26,29,19",43,2022-05-07 07:56:43.151266
2018-06-02,00131,"5,7,17,22,32,33,6",43,2022-05-07 07:56:43.151266
2018-06-05,00132,"11,21,26,32,51,52,5",43,2022-05-07 07:56:43.155266
2018-06-07,00133,"11,16,18,26,46,47,42",43,2022-05-07 07:56:43.155266
2018-06-09,00134,"9,23,25,39,52,53,38",42,2022-05-07 07:56:43.155266
2018-06-12,00135,"4,13,23,27,29,35,14",42,2022-05-07 07:56:43.155266
2018-06-14,00136,"3,15,32,45,48,54,55",42,2022-05-07 07:56:43.155266
2018-06-16,00137,"14,15,21,30,44,47,48",42,2022-05-07 07:56:43.155266
2018-06-19,00138,"16,17,31,37,41,52,34",42,2022-05-07 07:56:43.155266
2018-06-21,00139,"2,8,19,23,25,33,32",42,2022-05-07 07:56:43.155266
2018-06-23,00140,"6,8,13,23,46,55,1",42,2022-05-07 07:56:43.155266
2018-06-26,00141,"17,18,21,39,40,43,3",42,2022-05-07 07:56:43.155266
2018-06-28,00142,"11,31,33,43,48,51,23",41,2022-05-07 07:56:43.155266
2018-06-30,00143,"3,12,23,24,30,33,1",41,2022-05-07 07:56:43.155266
2018-07-03,00144,"30,32,34,47,48,49,50",41,2022-05-07 07:56:43.155266
2018-07-05,00145,"4,15,22,24,43,51,48",41,2022-05-07 07:56:43.155266
2018-07-07,00146,"2,30,45,48,49,53,41",41,2022-05-07 07:56:43.155266
2018-07-10,00147,"6,10,16,20,27,29,24",41,2022-05-07 07:56:43.155266
2018-07-12,00148,"8,15,18,21,24,49,22",41,2022-05-07 07:56:43.155266
